make,model,series,trim_code,manufacturer_code,engine_litres,engine_code,engine_name,engine_config,engine_valves,camshaft_setup,fuel_delivery,engine_kw,month_from,year_from,month_to,year_to,drive_train,transmission,doors,chassis,fuel_type,seats,transmission_speed,differential,country_of_manufacture,notes
Alfa Romeo,Brera,939,N/A,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,07,2006,06,2008,Front,Manual,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; bore×stroke not confirmed from primary source; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1 (confirmed alfaowner forum; Alfa Romeo 159 training material); CARB: N/A; VVT: Yes — Twin Phaser (chain-driven phase regulators on both inlet and exhaust cams; confirmed mymotorlist; dimavi.it: 'TWIN PHASER 939A5000'); TBRAND: Getrag; TBDG: M32 (M32A2 sub-variant confirmed B-Parts for 159/Brera 2.2 JTS); ROOF: Hard; SEG: Sports Car; AWD: No; Alfa variant code: 939.DXB11 (battery catalogue); Pre-facelift (Series I); AU launch July 2006 — confirmed Drive.com.au; Ateco Brands importer; built by Pininfarina at San Giorgio Canavese, near Turin, Italy; production ended October 2010; engine code 939A5.000 confirmed mymotorlist and B-Parts; 136kW @ 6500rpm; 230Nm @ 4500rpm; 95 RON premium unleaded"
Alfa Romeo,Brera,939,N/A,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,N/A,2007,06,2008,Front,Sequential,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1; CARB: N/A; VVT: Yes — Twin Phaser; TBRAND: Magneti Marelli; TBDG: Selespeed (6-speed robotised sequential; M32 base gearbox with Magneti Marelli electro-hydraulic actuator); ROOF: Hard; SEG: Sports Car; AWD: No; Alfa variant code: 939.DXB11; Pre-facelift (Series I); launched in AU Q3 2007 — exact month not confirmed from primary source; month_from left N/A (Q3 = July–September 2007 range only); Selespeed = automated single-clutch manual; paddle shift; built by Pininfarina, San Giorgio Canavese, Italy; 136kW @ 6500rpm; 230Nm @ 4500rpm"
Alfa Romeo,Brera,939,N/A,Tipo 939,3.2,939A.000,3.2 V6 JTS,V6,4,DOHC,GDI,191,07,2006,06,2008,All,Manual,2,Coupe,Petrol,4,6,Torsen,Italy,"3195cc; 60° V6 (transverse, front-mounted); INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.2 (confirmed alfaowner forum: 'JTS ECU tuning MED 7.6.2 in the 3.2'); CARB: N/A; VVT: Yes — TwinPhaser (both intake and exhaust cams, all banks; confirmed Wikipedia JTS engine; carsales AU: 'DOHC and variable valve timing'); TBRAND: General Motors; TBDG: F40 (6-speed; GM F40 confirmed alfaowner: 'F40 gearbox from GM; found in Vectra Signum Saabs'; torque rating ~400Nm); ROOF: Hard; SEG: Sports Car; AWD: Yes; Alfa variant code: 939.DXG22 (battery catalogue); Q4 permanent AWD; centre differential: Torsen Type C (self-locking; 57% rear / 43% front default bias); rear differential: Open; FWD V6 NOT sold in AU — Q4 only throughout; engine block manufactured at Holden/GM Port Melbourne shipped to Italy for Alfa cylinder heads and JTS assembly; Pre-facelift (Series I); AU launch July 2006 — confirmed Drive.com.au; built by Pininfarina, San Giorgio Canavese, Italy; 191kW @ 6200rpm; 322Nm @ 4500rpm; 95 RON"
Alfa Romeo,Brera,939,N/A,Tipo 939,3.2,939A.000,3.2 V6 JTS,V6,4,DOHC,GDI,191,04,2007,06,2008,All,Automatic,2,Coupe,Petrol,4,6,Torsen,Italy,"3195cc; 60° V6; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.2; CARB: N/A; VVT: Yes — TwinPhaser; TBRAND: Aisin; TBDG: AWTF-80 SC (marketed in AU as Q-Tronic; 6-speed torque-converter auto; transverse; Comfort/Sport/Winter modes; tiptronic sequential shift paddle); ROOF: Hard; SEG: Sports Car; AWD: Yes; Alfa variant code: 939.DXG22; Q4 permanent AWD; centre differential: Torsen Type C (57% rear / 43% front default); rear differential: Open; Q-Tronic launched in AU April 2007 — confirmed carsales editorial; launch price AU$99,990 (April 2007); Pre-facelift (Series I); engine block from Holden/GM Port Melbourne; built by Pininfarina, San Giorgio Canavese, Italy; 191kW @ 6200rpm; 322Nm @ 4500rpm"
Alfa Romeo,Brera,939,N/A,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,07,2008,N/A,2010,Front,Manual,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1; CARB: N/A; VVT: Yes — Twin Phaser; TBRAND: Getrag; TBDG: M32; ROOF: Hard; SEG: Sports Car; AWD: No; Alfa variant code: 939.DXB11; Post-facelift (Series II — from mid-2008); facelift changes: interior dark fascia replacing grey/beige panels; ~45kg weight reduction; revised suspension geometry; new wheel designs; automobile-catalog.com explicitly lists updated Brera 'since mid-year 2008 for Europe Australia'; month_to not confirmed from AU primary source; built by Pininfarina, San Giorgio Canavese, Italy; 136kW @ 6500rpm; 230Nm @ 4500rpm"
Alfa Romeo,Brera,939,N/A,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,07,2008,N/A,2009,Front,Sequential,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1; CARB: N/A; VVT: Yes — Twin Phaser; TBRAND: Magneti Marelli; TBDG: Selespeed (6-speed); ROOF: Hard; SEG: Sports Car; AWD: No; Alfa variant code: 939.DXB11; Post-facelift (Series II); Selespeed production ended mid-2009 per automobile-catalog.com '(up to mid-year 2009 for Europe Australia)'; exact month_to not confirmed from AU primary source — year_to 2009 used; built by Pininfarina, San Giorgio Canavese, Italy; 136kW @ 6500rpm; 230Nm @ 4500rpm"
Alfa Romeo,Brera,939,TI,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,N/A,2009,N/A,2010,Front,Manual,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1; CARB: N/A; VVT: Yes — Twin Phaser; TBRAND: Getrag; TBDG: M32; ROOF: Hard; SEG: Sports Car; AWD: No; TI trim (post-facelift only): 19-inch alloys (vs 18-inch on base); Brembo front brake calipers; TI badges; stiffer suspension tuning; TI introduced Paris Motor Show October 2008; AU on-sale 2009 — confirmed carsales research page (7 variants listed for 2009 model including TI ×2); month_from/month_to not confirmed from AU primary source; Alfa variant code: 939.DXB11; built by Pininfarina, San Giorgio Canavese, Italy; 136kW @ 6500rpm; 230Nm @ 4500rpm"
Alfa Romeo,Brera,939,TI,Tipo 939,2.2,939A5.000,2.2 JTS,I4,4,DOHC,GDI,136,N/A,2009,N/A,2009,Front,Sequential,2,Coupe,Petrol,4,6,Open,Italy,"2198cc; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.1; CARB: N/A; VVT: Yes — Twin Phaser; TBRAND: Magneti Marelli; TBDG: Selespeed (6-speed); ROOF: Hard; SEG: Sports Car; AWD: No; TI trim: 19-inch alloys; Brembo front calipers; stiffer suspension; carsales 2009 research lists 'TI ×2' — second variant confirmed as TI+Selespeed per research; Selespeed production ended mid-2009 — TI Selespeed available only during 2009; month_from/month_to not confirmed; Alfa variant code: 939.DXB11; built by Pininfarina, San Giorgio Canavese, Italy"
Alfa Romeo,Brera,939,N/A,Tipo 939,3.2,939A.000,3.2 V6 JTS,V6,4,DOHC,GDI,191,07,2008,N/A,2010,All,Manual,2,Coupe,Petrol,4,6,Torsen,Italy,"3195cc; 60° V6; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.2; CARB: N/A; VVT: Yes — TwinPhaser; TBRAND: General Motors; TBDG: F40 (6-speed); ROOF: Hard; SEG: Sports Car; AWD: Yes; Alfa variant code: 939.DXG22; Q4 permanent AWD; centre differential: Torsen Type C (57% rear / 43% front); rear differential: Open; Post-facelift (Series II); V6 manual dropped from AU between 2010–2011 — exact year_to not confirmed; year_to 2010 used per research; Q-Tronic continued after manual discontinued; engine block from Holden/GM Port Melbourne; built by Pininfarina, San Giorgio Canavese, Italy; 191kW @ 6200rpm; 322Nm @ 4500rpm"
Alfa Romeo,Brera,939,N/A,Tipo 939,3.2,939A.000,3.2 V6 JTS,V6,4,DOHC,GDI,191,07,2008,N/A,2012,All,Automatic,2,Coupe,Petrol,4,6,Torsen,Italy,"3195cc; 60° V6; INDUCT: NA; FDEL: GDI; FSYS: Bosch Motronic MED7.6.2; CARB: N/A; VVT: Yes — TwinPhaser; TBRAND: Aisin; TBDG: AWTF-80 SC (marketed as Q-Tronic; 6-speed torque-converter auto; Comfort/Sport/Winter modes; tiptronic sequential shift); ROOF: Hard; SEG: Sports Car; AWD: Yes; Alfa variant code: 939.DXG22; Q4 permanent AWD; centre differential: Torsen Type C (57% rear / 43% front); rear differential: Open; Post-facelift (Series II); V6 Q-Tronic continued to final AU import — stocks imported through early 2012 per CarsGuide; year_to 2012 used; month_to not confirmed; engine block from Holden/GM Port Melbourne; built by Pininfarina, San Giorgio Canavese, Italy; 191kW @ 6200rpm; 322Nm @ 4500rpm"
Alfa Romeo,Brera,939,N/A,Tipo 939,1.742,939B1.000,1750 TBi,I4,4,DOHC,GDI,147,N/A,2011,N/A,2012,Front,Manual,2,Coupe,Petrol,4,6,Open,Italy,"1742cc (marketed as 1750 TBi; battery catalogue lists as 1.8 TBi — parts industry rounding); INDUCT: T (turbocharged with intercooler); FDEL: GDI; FSYS: Bosch (specific MED version not confirmed from available primary sources — Bosch Motronic likely; hold for confirmation); CARB: N/A; VVT: Yes — variable valve timing on both inlet and exhaust cams (conventional phase variators; NOT MultiAir; no variable valve lift; confirmed alfaowner forum: 'has variable valve timing with a variator on camshaft it doesn't have the multiair'); TBRAND: Getrag; TBDG: M32; ROOF: Hard; SEG: Sports Car; AWD: No; Alfa variant code: 939DXN1B (battery catalogue); engine code 939B1.000 confirmed what-breaks.com and zeperfs.com; FWD Manual ONLY in AU — no Selespeed or auto offered; 1750 TBi launched AU 2011 — confirmed Drive.com.au; AU RRP at launch: $64,990; 147kW @ 5000rpm; 320Nm @ 1400rpm; belt-driven timing (belt also drives high-pressure fuel pump); battery catalogue shows 2009 start year — reflects European production date not AU import date; built by Pininfarina, San Giorgio Canavese, Italy; 95 RON premium unleaded"
