part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
68 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,C Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,HYUNDAI,ELANTRA LAVITA,2001,2004,1.8 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,FC,G4GB,90,No
58 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,C Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,HYUNDAI,ELANTRA LAVITA,2001,2004,1.8 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,FC,G4GB,90,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,HYUNDAI,ELANTRA,2016,2020,1.6 SR Turbo Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"AD,ADA",G4FJ,150,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,HYUNDAI,ELANTRA,2016,2020,1.6 SR Turbo Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"AD,ADA",G4FJ,150,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,HYUNDAI,ELANTRA,2015,2020,2.0 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"AD,ADA",G4NA,112,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,HYUNDAI,ELANTRA,2015,2020,2.0 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"AD,ADA",G4NA,112,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,HYUNDAI,ELANTRA,2010,2015,1.8 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"MD,UD",G4NB,110,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,HYUNDAI,ELANTRA,2010,2015,1.8 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"MD,UD",G4NB,110,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HYUNDAI,ELANTRA,2006,2011,2.0 CVVT Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,HD,G4GC,105,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HYUNDAI,ELANTRA,2006,2011,2.0 CVVT Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,HD,G4GC,105,No
