MAKE,MODEL,SERIES,MFR,TRIM,MFROM,YFROM,MTO,YTO,DOORS,CHASSIS,ELIT,ECODE,ENAME,ECONFIG,EVALVES,CAM,FUEL,INDUCT,NOTES,VVT,AWD,SEG,EDITION,FDEL,CARB,KW,DT,TRANS,MFG,SEATS,TSPEED,DIFF,ROOF,TBDG,TBRAND,CPACK,FSYS,BATT,FMKW,RMKW,CREATED,SPECS,ENGBADGE,IMGURLS
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,168,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,168,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,168,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,4.75,AMC 290,290 V8,V8,2,OHV,Petrol,NA,"290 cu in (4.75L) V8; 225 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,168,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,209,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,209,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,209,RWD,Automatic,USA,2,3,Open,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,5.62,AMC 343,343 V8,V8,2,OHV,Petrol,NA,"343 cu in (5.62L) V8; 280 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,209,RWD,Automatic,USA,2,3,Twin-Grip,Hard,Borg-Warner Shift-Command 3-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; open diff standard; Go Package available: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,N/A,Carburettor,1,235,RWD,Manual,USA,2,4,Open,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
AMC,AMX,AMX Gen 1,AMX,Base,02,1968,08,1968,2,Sports Coupe,6.39,AMC 390,390 V8,V8,2,OHV,Petrol,NA,"390 cu in (6.39L) V8; 315 hp SAE gross; Carter AFB 4-barrel; 10.0:1 compression; forged steel crank and conrods; Go Package fitted: Twin-Grip LSD + front disc brakes + E70x14 RWL tires + handling pkg; AMC had no official AU distributor — grey import only",No,No,Muscle Car,Go Package,Carburettor,1,235,RWD,Manual,USA,2,4,Twin-Grip,Hard,Borg-Warner T-10 4-speed,Borg-Warner,N/A,Carburettor,N/A,N/A,N/A,,,N/A,
