make,model,series,trim_code,manufacturer_code,engine_litres,engine_code,engine_name,engine_config,engine_valves,camshaft_setup,fuel_delivery,engine_kw,month_from,year_from,month_to,year_to,drive_train,transmission,doors,chassis,fuel_type,seats,transmission_speed,differential,country_of_manufacture,notes
Alfa Romeo,1900,Berlina,N/A,Tipo 1900,1.9,AR 1306,AR 1306,I4,8,DOHC,Carburettor,67,,1950,,1954,RWD,Manual,4,Berlina,Petrol,5,4,Open,Italy,"1884cc; bore×stroke 82.55×88mm; CR 7.5:1; 1× carburettor (Weber or Solex — source conflict); 90bhp @ 5200rpm; ~1100kg kerb; 2630mm wheelbase; column gear-change; sodium-filled exhaust valves; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor 1950–1959 — grey import only; RHD production extremely rare"
Alfa Romeo,1900,Berlina,TI,Tipo 1900,1.9,AR 1306,AR 1306,I4,8,DOHC,Carburettor,74,,1951,,1954,RWD,Manual,4,Berlina,Petrol,5,4,Open,Italy,"1884cc; bore×stroke 82.55×88mm; CR 8.0:1; 2× twin-choke carburettors (Weber or Solex — source conflict); 100bhp @ 5500rpm; ~1100kg kerb; 2630mm wheelbase; TI = Turismo Internazionale; column gear-change; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only"
Alfa Romeo,1900,Berlina Super,N/A,Tipo 1900,1.9,AR 1308,AR 1308,I4,8,DOHC,Carburettor,66,,1954,,1959,RWD,Manual,4,Berlina,Petrol,5,4,Open,Italy,"1975cc; bore×stroke 84.5×88mm; CR 7.5:1; 1× Solex carburettor; 90bhp @ 5200rpm; ~1100kg kerb; 2630mm wheelbase; second series Berlina; double-chain cam drive (vs gear-drive on AR 1306); front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only; power figure: 90bhp SAE vs 66kW DIN — measurement standard difference"
Alfa Romeo,1900,Berlina Super,TI Super,Tipo 1900,1.9,AR 1308,AR 1308,I4,8,DOHC,Carburettor,85,,1954,,1959,RWD,Manual,4,Berlina,Petrol,5,4,Open,Italy,"1975cc; bore×stroke 84.5×88mm; CR 8.0:1; 2× twin-choke Solex carburettors (some sources cite Weber for competition examples — uncertain); 115bhp @ 5500rpm; ~1100kg kerb; 2630mm wheelbase; second series; front: double wishbone IFS coil springs; rear: live axle coil springs (Alfin self-adjusting rear drums on some); no AU official distributor — grey import only"
Alfa Romeo,1900,1900C Sprint,N/A,Tipo 1900C,1.9,AR 1306,AR 1306,I4,8,DOHC,Carburettor,74,,1951,,1958,RWD,Manual,2,Coupe,Petrol,4,4,Open,Italy,"1884cc; bore×stroke 82.55×88mm; CR 7.75:1; 1× Weber carburettor; 100bhp @ 5500rpm; Carrozzeria Touring Superleggera coachbuilt body — alloy panels over steel tubing (Superleggera method); 2500mm wheelbase (Corto short chassis); ~1000kg; ~650 units built; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only; approx 6 RHD units produced total across all Sprint variants (UK/export)"
Alfa Romeo,1900,1900C Super Sprint,N/A,Tipo 1900C,1.9,AR 1308,AR 1308,I4,8,DOHC,Carburettor,85,,1954,,1958,RWD,Manual,2,Coupe,Petrol,4,5,Open,Italy,"1975cc; bore×stroke 84.5×88mm; CR 8.0:1; 2× twin-choke carburettors (Weber or Solex — sources conflict); 115bhp @ 5500rpm; Carrozzeria Touring Superleggera coachbuilt body; 2500mm wheelbase (Corto chassis); ~900kg; ~800+ units built; 5-speed gearbox (standard fit — earliest units may have been 4-speed, exact changeover date unconfirmed); front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only"
Alfa Romeo,1900,1900C SSZ,N/A,Tipo 1900C,1.9,AR 1308,AR 1308,I4,8,DOHC,Carburettor,85,,1957,,1957,RWD,Manual,2,Coupe,Petrol,2,4,Open,Italy,"1975cc; Zagato-built ultra-lightweight aluminium body; 2500mm wheelbase (Corto chassis); 39 coupés built 1957; SSZ = Sprint Zagato Speciale; competition-oriented; 4-speed gearbox (not 5-speed); front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only"
Alfa Romeo,1900,1900C SSZ,N/A,Tipo 1900C,1.9,AR 1308,AR 1308,I4,8,DOHC,Carburettor,85,,1957,,1957,RWD,Manual,2,Spider,Petrol,2,4,Open,Italy,"1975cc; Zagato-built ultra-lightweight aluminium open spider body; 2500mm wheelbase (Corto chassis); only 2 units built 1957; SSZ Spider variant of the SSZ Coupe; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only"
Alfa Romeo,1900,1900C Cabriolet PF,N/A,Tipo 1900C,1.9,AR 1306,AR 1306,I4,8,DOHC,Carburettor,74,,1954,,1956,RWD,Manual,2,Cabriolet,Petrol,4,4,Open,Italy,"Engine family uncertain — AR 1306 (1884cc) or AR 1308 (1975cc) depending on exact build date; Pinin Farina (later Pininfarina) coachbuilt cabriolet body; 2500mm wheelbase (Corto chassis); 88 units built; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only; year range approximate"
Alfa Romeo,1900,1900C Coupe PF,N/A,Tipo 1900C,1.9,AR 1306,AR 1306,I4,8,DOHC,Carburettor,74,,1952,,1956,RWD,Manual,2,Coupe,Petrol,4,4,Open,Italy,"Engine family uncertain — AR 1306 (1884cc) or AR 1308 (1975cc) depending on exact build date; Pinin Farina (later Pininfarina) coachbuilt coupé body; distinct design from Touring Sprint; 2500mm wheelbase (Corto chassis); ~100 units built; front: double wishbone IFS coil springs; rear: live axle coil springs; no AU official distributor — grey import only; year range approximate"
